(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpicxx matmul.cpp -o matmul -lstdc++
(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 1 ./matmul
Size: 2048 | Runs: 37722.05ms 38466.94ms 38215.18ms 37906.53ms 38882.60ms | Avg: 38238.66ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root --use-hwthread-cpus -np 11 ./matmul
Size:  128 | Runs:   1.51ms   1.42ms   1.35ms   1.43ms   1.36ms | Avg:   1.41ms
Size:  256 | Runs:  12.07ms  11.89ms  12.10ms  13.79ms  12.47ms | Avg:  12.46ms
Size:  384 | Runs:  40.78ms  42.33ms  41.90ms  41.95ms  44.13ms | Avg:  42.22ms
Size:  512 | Runs: 135.75ms 133.82ms 146.14ms 134.39ms 139.89ms | Avg: 138.00ms
Size:  640 | Runs: 245.48ms 232.23ms 256.89ms 240.73ms 240.70ms | Avg: 243.21ms
Size:  768 | Runs: 554.79ms 562.92ms 572.17ms 581.08ms 553.40ms | Avg: 564.87ms
Size:  896 | Runs: 713.71ms 798.75ms 770.38ms 754.66ms 776.58ms | Avg: 762.82ms
Size: 1024 | Runs: 1430.61ms 1500.99ms 1497.07ms 1499.13ms 1552.53ms | Avg: 1496.07ms
Size: 1152 | Runs: 2512.43ms 2052.62ms 2066.49ms 2379.98ms 2292.97ms | Avg: 2260.90ms
Size: 1280 | Runs: 3065.50ms 3278.22ms 3155.74ms 3610.62ms 3398.93ms | Avg: 3301.80ms
Size: 1408 | Runs: 3720.66ms 4024.80ms 4052.93ms 3844.19ms 3794.94ms | Avg: 3887.50ms
Size: 1536 | Runs: 6253.68ms 6258.04ms 6150.60ms 6187.25ms 6129.28ms | Avg: 6195.77ms
Size: 1664 | Runs: 6683.39ms 6902.22ms 6706.82ms 6476.38ms 6528.56ms | Avg: 6659.47ms
Size: 1792 | Runs: 8763.77ms 8923.90ms 8645.60ms 8702.53ms 9100.06ms | Avg: 8827.17ms
Size: 1920 | Runs: 10560.74ms 10456.98ms 10100.56ms 10028.07ms 10226.07ms | Avg: 10274.48ms
Size: 2048 | Runs: 35808.68ms 39640.35ms 40554.87ms 43340.02ms 41068.83ms | Avg: 40082.55ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root --use-hwthread-cpus -np 12 ./matmul
Size:  128 | Runs:   1.38ms   1.30ms   1.25ms   1.27ms   1.36ms | Avg:   1.31ms
Size:  256 | Runs:  10.69ms  10.96ms  12.99ms  12.04ms  11.80ms | Avg:  11.70ms
Size:  384 | Runs:  39.98ms  40.16ms  39.70ms  38.27ms  37.41ms | Avg:  39.10ms
Size:  512 | Runs: 118.00ms 130.89ms 133.98ms 155.32ms 143.64ms | Avg: 136.37ms
Size:  640 | Runs: 250.28ms 224.19ms 251.47ms 239.65ms 248.14ms | Avg: 242.75ms
Size:  768 | Runs: 559.32ms 591.96ms 601.27ms 647.78ms 601.44ms | Avg: 600.35ms
Size:  896 | Runs: 750.00ms 798.85ms 796.01ms 769.65ms 774.61ms | Avg: 777.82ms
Size: 1024 | Runs: 1622.32ms 1442.24ms 1437.11ms 1411.93ms 1482.39ms | Avg: 1479.20ms
Size: 1152 | Runs: 1741.47ms 1960.68ms 1925.78ms 1932.58ms 2011.53ms | Avg: 1914.41ms
Size: 1280 | Runs: 2876.29ms 3099.25ms 3087.42ms 3088.06ms 3093.17ms | Avg: 3048.84ms
